SurveilancePlace,Department,MonitorDate,Rate_Wave
Downtown,Big,20121208,1.71
Downtown,Big,20121209,1.55
Downtown,Big,20121210,1.96
Downtown,Big,20121211,2.31
Downtown,Big,20121212,1.79
Downtown,Big,20121213,1.82
Downtown,Big,20121214,1.84
Downtown,Big,20121215,2.17
Downtown,Big,20121216,1.88
Downtown,Big,20121217,1.93
Downtown,Big,20121218,1.83
Downtown,Big,20121219,2.12
Downtown,Big,20121220,2.04
Downtown,Big,20121221,1.64
Downtown,Big,20121222,1.52
Downtown,Big,20121223,1.62
Downtown,Big,20121224,1.67
Downtown,Big,20121225,1.93
Downtown,Big,20121226,1.66
Downtown,Big,20121227,1.81
Downtown,Big,20121228,1.76
Downtown,Big,20121229,1.69
Downtown,Big,20121230,1.69
Downtown,Big,20121231,1.75
Downtown,Big,20130101,1.6
Downtown,Big,20130102,1.69
Downtown,Big,20130103,1.7
Downtown,Big,20130104,1.7
Downtown,Big,20130105,1.74
Downtown,Big,20130106,1.67
Downtown,Big,20130107,1.61
Downtown,Big,20130108,1.57
Downtown,Big,20130109,1.75
Downtown,Big,20130110,1.6
Downtown,Big,20130111,1.81
Downtown,Big,20130112,1.5
Downtown,Big,20130113,2.12
Downtown,Big,20130114,1.83
Downtown,Big,20130115,4.25
Downtown,Big,20130116,1.77
Downtown,Big,20130117,2.46
Downtown,Big,20130118,1.83
Downtown,Big,20130119,1.84
Downtown,Big,20130120,1.71
Downtown,Big,20130121,1.74
Downtown,Big,20130122,1.72
Downtown,Big,20130123,1.79
Downtown,Big,20130124,1.67
Downtown,Big,20130125,1.76
Downtown,Big,20130126,1.75
Downtown,Big,20130127,1.74
Downtown,Big,20130128,1.72
Downtown,Big,20130129,1.61
Downtown,Big,20130130,1.68
Downtown,Big,20130131,1.67
Downtown,Big,20130201,1.71
Downtown,Big,20130202,1.78
Downtown,Big,20130203,1.77
Downtown,Big,20130204,1.7
Downtown,Big,20130205,1.73
Downtown,Big,20130206,1.73
Downtown,Big,20130207,1.53
Downtown,Big,20130208,1.57
Downtown,Big,20130209,1.64
Downtown,Big,20130210,1.66
Downtown,Big,20130211,1.52
Downtown,Big,20130212,1.52
Downtown,Big,20130213,1.55
Downtown,Big,20130214,1.68
Downtown,Big,20130215,1.68
Downtown,Big,20130216,1.67
Downtown,Big,20130217,1.75
Downtown,Big,20130218,1.63
Downtown,Big,20130219,1.55
Downtown,Big,20130220,1.7
Downtown,Big,20130221,1.65
Downtown,Big,20130222,1.61
Downtown,Big,20130223,1.77
Downtown,Big,20130224,1.74
Downtown,Big,20130225,1.72
Downtown,Big,20130226,4.32
Downtown,Big,20130227,1.73
Downtown,Big,20130228,1.81
Downtown,Big,20130301,1.58
Downtown,Big,20130302,1.76
Downtown,Big,20130303,2
